"Muestras","variable","value"
"CR","Actinomycetaceae",0.029026666666667
"SR","Actinomycetaceae",0.034103333333333
"CR","Atopobiaceae",0.003646666666667
"SR","Atopobiaceae",0.004793333333333
"CR","Campylobacteraceae",0.003066666666667
"SR","Campylobacteraceae",0.00487
"CR","Clostridiales.Family.XIII..Incertae.Sedis",0.00875
"SR","Clostridiales.Family.XIII..Incertae.Sedis",0.009573333333333
"CR","Flavobacteriaceae",0.015903333333333
"SR","Flavobacteriaceae",0.010886666666667
"CR","Fusobacteriaceae",0.01926
"SR","Fusobacteriaceae",0.015856666666667
"CR","Leptotrichiaceae",0.003143333333333
"SR","Leptotrichiaceae",0.000903333333333
"CR","Micrococcaceae",0.080163333333333
"SR","Micrococcaceae",0.185873333333333
"CR","Neisseriaceae",0.19571
"SR","Neisseriaceae",0.175056666666667
"CR","Pasteurellaceae",0.02728
"SR","Pasteurellaceae",0.06572
"CR","Porphyromonadaceae",0.018643333333333
"SR","Porphyromonadaceae",0.00247
"CR","Prevotellaceae",0.18709
"SR","Prevotellaceae",0.166836666666667
"CR","Propionibacteriaceae",0.00194
"SR","Propionibacteriaceae",0.00173
"CR","Selenomonadaceae",0.003796666666667
"SR","Selenomonadaceae",0.002143333333333
"CR","Streptococcaceae",0.0686
"SR","Streptococcaceae",0.12406
"CR","Streptomycetaceae",0.003253333333333
"SR","Streptomycetaceae",0.001936666666667
"CR","Tannerellaceae",0.012536666666667
"SR","Tannerellaceae",0.005176666666667
"CR","Veillonellaceae",0.011926666666667
"SR","Veillonellaceae",0.012183333333333
